Câu hỏi,Trả lời,Thủ tục liên quan
"Đề nghị Bộ Xây dựng hướng dẫn tôi thành phần hồ sơ đề nghị cấp giấy phép xây dựng đối với trường hợp xây dựng mới công trình tượng đài, tranh hoành tráng bao gồm những tài liệu gì?","Theo quy định tại Khoản 5 Điều 8 Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng thì hồ sơ bao gồm:1. Đơn đề nghị cấp giấy phép xây dựng theo mẫu tại Phụ lục số 1 Thông tư này;2. Bản sao hoặc tệp tin chứa bản chụp chính một trong những giấy tờ chứng minh quyền sử dụng đất theo quy định của pháp luật về đất đai;c) Bản sao hoặc tệp tin chứa bản chụp chính giấy phép hoặc văn bản chấp thuận của cơ quan quản lý nhà nước về văn hoá, di tích lịch sử theo phân cấp;3. Bản sao hoặc tệp tin chứa bản chụp chính hai bộ bản vẽ thiết kế kỹ thuật hoặc thiết kế bản vẽ thi công được phê duyệt theo quy định của pháp luật về xây dựng, mỗi bộ gồm:- Sơ đồ vị trí công trình tỷ lệ 1/100 - 1/500;- Bản vẽ mặt bằng công trình tỷ lệ 1/100 - 1/500;- Bản vẽ các mặt đứng, các mặt cắt chủ yếu công trình tỷ lệ 1/50 - 1/200.","Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
Đề nghị Bộ Xây dựng hướng dẫn tôi thành phần hồ sơ đề nghị cấp giấy phép xây dựng đối với trường hợp xây dựng mới công trình của các cơ quan ngoại giao tại Việt Nam bao gồm những tài liệu gì?,"Theo quy định tại Khoản 7 Điều 8 Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng thì hồ sơ bao gồm:1. Đơn đề nghị cấp giấy phép xây dựng theo mẫu tại Phụ lục số 1 Thông tư này;2. Bản sao hoặc tệp tin chứa bản chụp chính một trong những giấy tờ chứng minh quyền sử dụng đất theo quy định của pháp luật về đất đai. Trường hợp đối với công trình xây dựng trạm, cột phát sóng tại khu vực không thuộc nhóm đất có mục đích sử dụng cho xây dựng, không chuyển đổi được mục đích sử dụng đất thì nộp bản sao hoặc tệp tin chứa bản chụp chính văn bản chấp thuận về địa điểm xây dựng của Ủy ban nhân dân cấp huyện; 3. Bản sao hoặc tệp tin chứa bản chụp chính hai bộ bản vẽ thiết kế kỹ thuật hoặc thiết kế bản vẽ thi công được phê duyệt theo quy định của pháp luật về xây dựng, mỗi bộ gồm:- Bản vẽ mặt bằng vị trí công trình trên lô đất tỷ lệ 1/100 - 1/500, kèm theo sơ đồ vị trí công trình;- Bản vẽ các mặt bằng, các mặt đứng và mặt cắt chủ yếu của công trình, tỷ lệ 1/50 - 1/200; - Bản vẽ mặt bằng móng tỷ lệ 1/100 - 1/200 và mặt cắt móng tỷ lệ 1/50, kèm theo sơ đồ đấu nối với hệ thống hạ tầng kỹ thuật về giao thông; cấp nước; thoát nước mưa, nước bẩn; xử lý nước thải; cấp điện; thông tin liên lạc; các hệ thống hạ tầng kỹ thuật khác liên quan đến công trình tỷ lệ 1/50 - 1/200.4. Thực hiện theo các điều khoản quy định của Hiệp định hoặc thoả thuận đã được ký kết với Chính phủ Việt Nam.","Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
Công trình xây dựng không theo tuyến cấp I được cấp giấy phép theo mấy giai đoạn?,Theo quy định tại Khoản 1 Điều 9 Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng thì Công trình xây dựng không theo tuyến cấp I được cấp giấy phép theo hai giai đoạn.,"Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
"Đối với công trình, nhà ở riêng lẻ thuộc khu vực đã có quy hoạch phân khu xây dựng được cơ quan nhà nước có thẩm quyền phê duyệt và có kế hoạch sử dụng đất hàng năm của cấp huyện thì chủ đầu tư có được cấp giấy phép xây dựng có thời hạn để sửa chữa, cải tạo không?","Theo quy định tại Khoản 5 Điều 94 Luật Xây dựng thì đối với công trình, nhà ở riêng lẻ thuộc khu vực đã có quy hoạch phân khu xây dựng được cơ quan nhà nước có thẩm quyền phê duyệt và có kế hoạch sử dụng đất hàng năm của cấp huyện thì không cấp giấy phép xây dựng có thời hạn cho việc xây dựng mới mà chỉ cấp giấy phép xây dựng có thời hạn để sửa chữa, cải tạo.","Cấp giấy phép sửa chữa, cải tạo đối với công trình, nhà ở riêng lẻ XD trong đô thị, trung tâm cụm xã, trong khu bảo tồn, khu di tích lịch sử- văn hóa thuộc địa bàn quản lý, trừ các công trình thuộc thẩm quyền cấp GPXD của cấp trung ương, cấp tỉnh"
"Giấy chứng nhận quyền sở hữu nhà ở, Giấy chứng nhận quyền sở hữu công trình xây dựng đã được cấp theo quy định tại Nghị định số 81/2001/NĐ-CP ngày 05 tháng 11 năm 2001 của Chính phủ về việc người Việt Nam định cư ở nước ngoài mua nhà ở tại Việt Nam có được coi là giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng không?","Theo quy định tại Điều 3 Nghị định số 53/2017/NĐ-CP ngày 08/5/2017 của Chính phủ quy định các loại giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng thì Giấy chứng nhận quyền sở hữu nhà ở, Giấy chứng nhận quyền sở hữu công trình xây dựng đã được cấp theo quy định tại Nghị định số 81/2001/NĐ-CP ngày 05 tháng 11 năm 2001 của Chính phủ về việc người Việt Nam định cư ở nước ngoài mua nhà ở tại Việt Nam được coi là giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng.","Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
"Giấy chứng nhận quyền sở hữu nhà ở, Giấy chứng nhận quyền sở hữu công trình xây dựng đã được cấp theo quy định tại Điều 31, Điều 32 Nghị định số 43/2014/NĐ-CP ngày 15 tháng 5 năm 2014 của Chính phủ quy định chi tiết thi hành một số điều của Luật Đất đai có được coi là giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng không?","Theo quy định tại Điều 3 Nghị định số 53/2017/NĐ-CP ngày 08/5/2017 của Chính phủ quy định các loại giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng thì Giấy chứng nhận quyền sở hữu nhà ở, Giấy chứng nhận quyền sở hữu công trình xây dựng đã được cấp theo quy định tại Điều 31, Điều 32 Nghị định số 43/2014/NĐ-CP ngày 15 tháng 5 năm 2014 của Chính phủ quy định chi tiết thi hành một số điều của Luật Đất đai được coi là giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng.","Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
"Văn bản của cơ quan nhà nước có thẩm quyền đã cấp giấy chứng nhận quyền sử dụng đất, theo đề nghị của cơ quan cấp giấy phép xây dựng để xác định diện tích các loại đất đối với trường hợp người sử dụng đất có một trong các loại giấy tờ hợp pháp về đất đai theo quy định tại các khoản 1, 2, 3, 4 và 5 Điều 3 Nghị định số 53/2017/NĐ-CP ngày 08/5/2017 nhưng trên các giấy tờ đó không ghi rõ diện tích các loại đất để làm cơ sở cấp giấy phép xây dựng có được coi là giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng không?","Theo quy định tại Điều 3 Nghị định số 53/2017/NĐ-CP ngày 08/5/2017 của Chính phủ quy định các loại giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng thì Văn bản của cơ quan nhà nước có thẩm quyền đã cấp giấy chứng nhận quyền sử dụng đất, theo đề nghị của cơ quan cấp giấy phép xây dựng để xác định diện tích các loại đất đối với trường hợp người sử dụng đất có một trong các loại giấy tờ hợp pháp về đất đai theo quy định tại các khoản 1, 2, 3, 4 và 5 Điều 3 Nghị định số 53/2017/NĐ-CP ngày 08/5/2017 nhưng trên các giấy tờ đó không ghi rõ diện tích các loại đất để làm cơ sở cấp giấy phép xây dựngđược coi là giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng.","Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
Mẫu Đơn đề nghị cấp giấy phép xây dựng cho công trình theo giai đoạn cho công trình không theo tuyến tôi lấy làm theo hướng dẫn ở đâu?,Phụ lục số 1 Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng.,"Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
Mẫu Đơn đề nghị cấp giấy phép xây dựng cho công trình theo giai đoạn cho công trình theo tuyến trong đô thị tôi lấy làm theo hướng dẫn ở đâu?,Phụ lục số 1 Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng.,"Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
Mẫu giấy phép xây dựng theo giai đoạn của công trình theo tuyến trong đô thị quy định ở Thông tư nào?,Phụ lục số 4 (mẫu 5) Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng.,"Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
Mẫu giấy phép xây dựng có thời hạn cho nhà ở riêng lẻ quy định ở Thông tư nào?,Phụ lục số 4 (mẫu 10) Thông tư số 15/2016/TT-BXD ngày 30/6/2016 của Bộ Xây dựng hướng dẫn về cấp giấy phép xây dựng.,"Cấp GPXD đối với công trình, nhà ở riêng lẻ XD trong đô thị, trung tâm cụm xã, trong khu bảo tồn, khu di tích lịch sử- văn hóa thuộc địa bàn quản lý, trừ các công trình thuộc thẩm quyền cấp GPXD của cấp trung ương, cấp tỉnh"
"Báo cáo rà soát, kê khai hiện trang sử dụng đất đối với trường hợp tổ chức, cơ sở tôn giáo đang sử dụng mà chưa được cấp giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất được Ủy ban nhân dân cấp tỉnh nơi có đất kiểm tra và quyết định xử lý theo quy định tại Điều 28 Nghị định số 43/2014/NĐ-CP ngày 15 tháng 5 năm 2014 của Chính phủ quy định chi tiết thi hành một số điều của Luật Đất đai có được coi là giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng không?","Theo quy định tại Điều 3 Nghị định số 53/2017/NĐ-CP ngày 08/5/2017 của Chính phủ quy định các loại giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng thì Báo cáo rà soát, kê khai hiện trang sử dụng đất đối với trường hợp tổ chức, cơ sở tôn giáo đang sử dụng mà chưa được cấp giấy chứng nhận quyền sử dụng đất, quyền sở hữu nhà ở và tài sản khác gắn liền với đất được Ủy ban nhân dân cấp tỉnh nơi có đất kiểm tra và quyết định xử lý theo quy định tại Điều 28 Nghị định số 43/2014/NĐ-CP ngày 15 tháng 5 năm 2014 của Chính phủ quy định chi tiết thi hành một số điều của Luật Đất đai được coi là giấy tờ hợp pháp về đất đai để cấp giấy phép xây dựng.","Cấp giấy phép xây dựng mới đối với công trình cấp I, II; công trình tôn giáo; công trình di tích lịch sử - văn hóa, tượng đài, tranh hoành tráng được xếp hạng; công trình trên các tuyến, trục đường phố chính trong đô thị; công trình thuộc dự án có vốn đầu tư trực tiếp nước ngoài"
"Tôi muốn công chứng hợp đồng thế chấp để vay vốn ngân hàng, tôi đã tự soạn thảo sẵn hợp đồng, hỏi tôi cần chuẩn bị thêm các giấy tờ gì?","Luật công chứng (khoản 1 Điều 40 quy định về công chứng hợp đồng, giao dịch đã được soạn thảo sẵn. Theo đó, hồ sơ yêu cầu công chứng được lập thành một bộ, gồm các giấy tờ sau đây:a) Phiếu yêu cầu công chứng, trong đó có thông tin về họ tên, địa chỉ người yêu cầu công chứng, nội dung cần công chứng, danh mục giấy tờ gửi kèm theo; tên tổ chức hành nghề công chứng, họ tên người tiếp nhận hồ sơ yêu cầu công chứng, thời điểm tiếp nhận hồ sơ;b) Dự thảo hợp đồng, giao dịch;c) Bản sao giấy tờ tùy thân của người yêu cầu công chứng;d) Bản sao giấy chứng nhận quyền sở hữu, quyền sử dụng hoặc bản sao giấy tờ thay thế được pháp luật quy định đối với tài sản mà pháp luật quy định phải đăng ký quyền sở hữu, quyền sử dụng trong trường hợp hợp đồng, giao dịch liên quan đến tài sản đó;đ) Bản sao giấy tờ khác có liên quan đến hợp đồng, giao dịch mà pháp luật quy định phải có.Căn cứ vào quy định nêu trên, ông/bà cần chuẩn chị các thành phần giấy tờ theo quy định.","Công chứng hợp đồng ủy quyền, Công chứng hợp đồng thế chấp bất động sản, Công chứng hợp đồng, giao dịch do công chứng viên soạn thảo theo đề nghị của người yêu cầu công chứng, Công chứng hợp đồng, giao dịch soạn thảo sẵn"
