Câu hỏi,Trả lời,Thủ tục liên quan
"Thời hạn giải quyết Thành phần hồ sơ việc miễn giảm học phí và hỗ trợ chi phí học tập cho học sinh, sinh viên như thế nào?","Thời hạn giải quyết Thành phần hồ sơ việc miễn giảm học phí và hỗ trợ chi phí học tập cho học sinh, sinh viên như sau:a) Phương thức chi trả tiền hỗ trợ chi phí học tập đối với các đối tượng đang học tại các cơ sở giáo dục mầm non và phổ thông công lập.Kinh phí hỗ trợ chi phí học tập được cấp không quá 9 tháng/năm học và chi trả 2 lần trong năm: Lần 1 chi trả 4 tháng vào tháng 10 hoặc tháng 11; Lần 2 chi trả 5 tháng vào tháng 3 hoặc tháng 4.b) Phương thức chi trả tiền miễn, giảm học phí và hỗ trợ chi phí học tập đối với người học ở các cơ sở giáo dục ngoài công lập; cơ sở giáo dục nghề nghiệp và giáo dục đại học thuộc doanh nghiệp nhà nước, tổ chức kinh tếKinh phí cấp bù tiền miễn, giảm học phí và hỗ trợ chi phí học tập được cấp không quá 9 tháng/năm học (đối với học sinh mầm non và phổ thông), 10 tháng/năm học (đối với học sinh, sinh viên học tại các cơ sở giáo dục nghề nghiệp giáo dục đại học) và thực hiện 2 lần trong năm: Lần 1 chi trả 4 tháng (đối với học sinh mầm non và phổ thông), 5 tháng (đối với học sinh, sinh viên học tại các cơ sở giáo dục nghề nghiệp, giáo dục đại học) vào tháng 10 hoặc tháng 11; Lần 2 chi trả 5 tháng vào tháng 3 hoặc tháng 4.Trường hợp cha mẹ (hoặc người giám hộ) trẻ em học mẫu giáo, học sinh phổ thông, học sinh, sinh viên chưa nhận tiền cấp bù học phí và hỗ trợ chi phí học tập theo thời hạn quy định thì được truy lĩnh trong kỳ chi trả tiếp theo.","Đề nghị miễn giảm học phí, hỗ trợ chi phí học tập, hỗ trợ tiền đóng học phí đối với người học tại các cơ sở giáo dục mầm non, giáo dục phổ thông, giáo dục thường xuyên, giáo dục nghề nghiệp và giáo dục đại học"
Căn cứ pháp lý đối với thủ tục hành chính của việc Hỗ trợ ăn trưa đối với trẻ em mẫu giáo như thế nào?,Căn cứ pháp lý của thủ tục hành chính:Nghị định số 06/2018/NĐ-CP ngày 05 tháng 01 năm 2018 của Chính phủ quy định chính sách hỗ trợ ăn trưa đối với trẻ em mẫu giáo và chính sách đối với giáo viên mầm non.,Hỗ trợ ăn trưa đối với trẻ em mẫu giáo
"Tôi muốn nộp đơn phúc khảo bài thi trung học phổ thông quốc gia cho con, thì trình tự phải thực hiện như thế nào?","Bạn muốn nộp đơn phúc khảo bài thi trung học phổ thông quốc gia cho con, thì phải thực hiện theo trình tự sau đây:a) Mọi thí sinh đều có quyền xin phúc khảo bài thi, thí sinh đăng ký dự thi ở đâu thì nộp đơn phúc khảo ở nơi đó.b) Trường phổ thông, nơi thí sinh đăng ký dự thi, nhận đơn xin phúc khảo của thí sinh trong thời hạn 10 ngày kể từ ngày công bố điểm thi và chuyển dữ liệu thí sinh xin phúc khảo bài thi đến Hội đồng thi. Việc phúc khảo tiến hành theo từng môn thi theo trình tự quy định tại Điều 30 Quy chế thi trung học phổ thông quốc gia và xét công nhận tốt nghiệp trung học phổ thông ban hành kèm theo Thông tư số 04/2017/TT-BGDĐT ngày 25 tháng 01 năm 2017 của Bộ trưởng Bộ Giáo dục và Đào tạo (sau đây gọi chung là Quy chế thi THPT quốc gia) và dưới sự điều hành trực tiếp của Trưởng ban Phúc khảo.c) Điểm các bài thi được điều chỉnh sau phúc khảo do Trưởng ban Phúc khảo trình Chủ tịch Hội đồng thi quyết định và cập nhật điểm của thí sinh sau phúc khảo vào hệ thống phần mềm quản lý thi theo quy định của Bộ Giáo dục và Đào tạo. Chủ tịch Hội đồng thi báo cáo, gửi dữ liệu cho Bộ Giáo dục và Đào tạo, đồng thời công bố và trả kết quả phúc khảo cho thí sinh.Trong thời hạn 15 ngày kể từ ngày hết hạn nhận đơn phúc khảo, Hội đồng thi phải công bố và gửi kết quả phúc khảo cho thí sinh.",Phúc khảo bài thi tốt nghiệp trung học phổ thông
"Cách thức thực hiện việc Đăng ký xét tuyển đại học hệ chính quy, tuyển sinh cao đẳng nhóm ngành đào tạo giáo viên hệ chính quy như thế nào?",Thí sinh có thể thực hiện theo phương thức trực tuyến hoặc trực tiếp tại nơi đăng ký dự thi.,Đăng ký xét tuyển tuyển sinh các ngành đào tạo trình độ đại học và ngành Giáo dục Mầm non trình độ cao đẳng
"Hồ sơ đăng ký xét tuyển đại học hệ chính quy, tuyển sinh cao đẳng nhóm ngành đào tạo giáo viên hệ chính quy bao gồm những gì?","Hồ sơ đăng ký xét tuyển đại học hệ chính quy, tuyển sinh cao đẳng nhóm ngành đào tạo giáo viên hệ chính quy bao gồm:Phiếu ĐKXT;Hồ sơ đăng ký dự thi THPT quốc gia theo quy định của Sở GDĐT kèm theo lệ phí ĐKXT.",Đăng ký xét tuyển tuyển sinh các ngành đào tạo trình độ đại học và ngành Giáo dục Mầm non trình độ cao đẳng
"Tôi muốn làm thủ tục công nhận văn bằng tốt nghiệp các cấp học phổ thông do cơ sở nước ngoài cấp, thì phải nộp phí và lệ phí là bao nhiêu?","Khi làm thủ tục công nhận văn bằng tốt nghiệp các cấp học phổ thông do cơ sở nước ngoài cấp, thì phí và lệ phí được quy định như sau: Người đề nghị công nhận văn bằng phải nộp phí theo quy định tại Thông tư số 164/2016/TT-BTC ngày 25/10/2016 của Bộ Tài chính về việc quy định mức thu, chế độ thu, nộp, quản lý và sử dụng phí xác minh giấy tờ, tài liệu để công nhận văn bằng do cơ sở giáo dục nước ngoài cấp cho người Việt Nam","Công nhận bằng tốt nghiệp trung học cơ sở, bằng tốt nghiệp trung học phổ thông, giấy chứng nhận hoàn thành chương trình giáo dục phổ thông do cơ sở giáo dục nước ngoài cấp để sử dụng tại Việt Nam"
Tôi muốn biết Cơ quan thực hiện việc chuyển trường đối với học sinh trung học cơ sở là cơ quan nào?,"Cơ quan thực hiện việc chuyển trường đối với học sinh trung học cơ sở:a) Cơ quan/Người có thẩm quyền quyết định: Hiệu trưởng nhà trường nơi đến (chuyển trường trong cùng tỉnh, thành phố) theo quy định của Giám đốc Sở Giáo dục và Đào tạo; Phòng giáo dục và đào tạo nơi đến (chuyển trường đến từ tỉnh, thành phố khác);b) Cơ quan trực tiếp thực hiện: Trường nơi đến hoặc Phòng giáo dục và đào tạo nơi đến.",Chuyển trường đối với học sinh trung học cơ sở
Trình tự thực hiện việc tiếp nhận đối tượng học bổ túc trung học cơ sở (THCS) như thế nào?,"Trình tự thực hiện việc tiếp nhận đối tượng học bổ túc trung học cơ sở như sau:a) Đối tượng học bổ túc THCS cần ghi tên và nộp hồ sơ, học bạ (nếu có) tại các trung tâm giáo dục thường xuyên, các trường, lớp bổ túc văn hoá.b) Trường hợp không có hồ sơ, học bạ thì sở giáo dục và đào tạo tổ chức kiểm tra trình độ hai môn ngữ văn và toán. Căn cứ vào kết quả kiểm tra, Giám đốc sở giáo dục và đào tạo cấp giấy phép vào học tại lớp tương ứng với trình độ. Giấy cho phép vào học này là căn cứ để thay học bạ các lớp dưới trong hồ sơ dự thi tốt nghiệp bổ túc THCS.",Tiếp nhận đối tượng học bổ túc trung học cơ sở
Phí và lệ phí việc thuyên chuyển trường học bổ túc trung học cơ sở là bao nhiêu?,Phí và lệ phí việc thuyên chuyển trường học bổ túc trung học cơ sở như sau:Không mất phí.,Thuyên chuyển đối tượng học bổ túc trung học cơ sở
Thuyên chuyển trường cho học sinh tiểu học thời hạn giải quyết như thế nào?,"Thời hạn giải quyết đối với việc chuyển trường cho học sinh tiểu học như sau: 05 ngày làm việc kể từ ngày nhận đủ hồ sơ hợp lệ, trong đó:- 01 ngày làm việc, hiệu trưởng trường nơi chuyển đến có ý kiến đồng ý tiếp nhận vào đơn;- 03 ngày làm việc, hiệu trưởng trường nơi chuyển đi có trách nhiệm trả hồ sơ cho học sinh;- 01 ngày làm việc, hiệu trưởng trường nơi đến tiếp nhận và xếp học sinh vào lớp.",Chuyển trường đối với học sinh tiểu học
"Thuyên chuyển trường cho học sinh tiểu học, đối tượng thực hiện như thế nào?",Đối tượng thực hiện việc Thuyên chuyển trường cho học sinh tiểu học là:Cá nhân.,Chuyển trường đối với học sinh tiểu học
Tôi muốn biết thủ tục hỗ trợ học tập đối với trẻ mẫu giáo các dân tộc thiểu số rất ít người đối tượng thực hiện như thế nào?,"Trẻ mẫu giáo thuộc 16 dân tộc: Cống, Mảng, Pu Péo, Si La, Cờ Lao, Bố Y, La Ha, Ngái, Chứt, Ơ Đu, Brâu, Rơ Măm, Lô Lô, Lự, Pà Thẻn, La Hủ đang học tập tại các cơ sở giáo dục thuộc hệ thống giáo dục quốc dân.","Hỗ trợ học tập đối với trẻ mẫu giáo, học sinh tiểu học, học sinh trung học cơ sở, sinh viên các dân tộc thiểu số rất ít người"
Thành phần và số lượng hồ sơ thủ tục hỗ trợ học tập đối với học sinh tiểu học các dân tộc thiểu số rất ít người như thế nào?,- Hồ sơ gồm: đơn đề nghị hỗ trợ học tập (theo mẫu) Phụ lục ban hành kèm theo Nghị định số 57/2017/NĐ-CP ngày 09 tháng 5 năm 2017 của Chính phủ;- Số lượng hồ sơ: 01 bộ.,"Hỗ trợ học tập đối với trẻ mẫu giáo, học sinh tiểu học, học sinh trung học cơ sở, sinh viên các dân tộc thiểu số rất ít người"
"Tôi muốn hỏi về gia hạn thời gian học tập cho lưu học sinh để hoàn thành khóa học, cơ quan nào thực hiện thủ tục hành chính?","Cơ quan thực hiện thủ tục hành chính việc gia hạn thời gian học tập cho lưu học sinh để hoàn thành khóa học: Cục Hợp tác quốc tế, Bộ Giáo dục và Đào tạo.",Gia hạn thời gian học tập ở nước ngoài
Cơ quan nào thực hiện thủ tục hỗ trợ học tập đối với học sinh tiểu học các dân tộc thiểu số rất ít người?,"Cơ sở giáo dục, phòng giáo dục và đào tạo.","Hỗ trợ học tập đối với trẻ mẫu giáo, học sinh tiểu học, học sinh trung học cơ sở, sinh viên các dân tộc thiểu số rất ít người"
Cách thực hiện đối với thủ tục hỗ trợ học tập đối với học sinh trung học cơ sở các dân tộc thiểu số rất ít người như thế nào?,Trực tiếp,"Hỗ trợ học tập đối với trẻ mẫu giáo, học sinh tiểu học, học sinh trung học cơ sở, sinh viên các dân tộc thiểu số rất ít người"
Tôi muốn biết thủ tục hỗ trợ học tập đối với sinh viên các dân tộc thiểu số rất ít người cách thực hiện như thế nào?,Trực tiếp,"Hỗ trợ học tập đối với trẻ mẫu giáo, học sinh tiểu học, học sinh trung học cơ sở, sinh viên các dân tộc thiểu số rất ít người"
"Tôi muốn hỏi về việc tiếp nhận lưu học sinh về nước, có cách thức thực hiện như thế nào?",Cách thức thực hiện việc tiếp nhận lưu học sinh về nước như sau: Ứng viên gửi hồ sơ qua đường bưu điện hoặc nộp trực tiếp tại Cục Hợp tác quốc tế và đồng thời nộp hồ sơ trực tuyến tại địa chỉ: oms.vied.vn.,Tiếp nhận du học sinh học bổng ngân sách nhà nước tốt nghiệp về nước
"Tôi muốn hỏi về việc tiếp nhận lưu học sinh về nước, có thời hạn giải quyết như thế nào?",Thời hạn giải quyết việc tiếp nhận lưu học sinh về nước như sau: Tối đa 20 ngày làm việc kể từ ngày nhận đủ hồ sơ hợp lệ.,Tiếp nhận du học sinh học bổng ngân sách nhà nước tốt nghiệp về nước
"Tôi muốn hỏi về việc tiếp nhận lưu học sinh về nước, cơ quan nào thực hiện thủ tục hành chính?","Cơ quan để thực hiện thủ tục hành chính việc tiếp nhận lưu học sinh về nước: Cục Hợp tác quốc tế, Bộ Giáo dục và Đào tạo.",Tiếp nhận du học sinh học bổng ngân sách nhà nước tốt nghiệp về nước
"Tôi muốn hỏi về việc tiếp nhận lưu học sinh về nước, tên mẫu đơn và mẫu tờ khai như thế nào?",Mẫu đơn và mẫu tờ khai việc tiếp nhận lưu học sinh về nước như sau: Báo cáo tốt nghiệp (Mẫu số 04) hoặc Đơn xin chuyển từ trường học ở nước ngoài về học tại Việt Nam (Mẫu số 02) ban hành kèm theo Thông tư số 10/2014/TT-BGDĐT ngày 11/4/2014 của Bộ trưởng Bộ Giáo dục và Đào tạo Ban hành Quy chế quản lý công dân Việt Nam học tập ở nước ngoài.,Tiếp nhận du học sinh học bổng ngân sách nhà nước tốt nghiệp về nước
